           1           1           1           1           2           3           4
           2           1           2           4           2           3           5
           3           2           1           1           6           8           9
           4           2           2           6           2           7          10
           5           2           3           8           7           3          11
           6           2           4           9          10          11           4
           7           2           5           6           8           9          10
           8           2           6           6           8           7          10
           9           2           7           8           9          10          11
          10           2           8           8           7          10          11
          11           3           1           1          12          14          15
          12           3           2          12           6          13          16
          13           3           3          14          13           8          17
          14           3           4          15          16          17           9
          15           3           5          12          14          15          16
          16           3           6          12          14          13          16
          17           3           7          14          15          16          17
          18           3           8          14          13          16          17
