           1           1           1           1           2           3           4
           2           1           2           4           2           3           5
           3           2           1           1           6           8           9
           4           2           2           6           2           7          10
           5           2           3           8           7           3          11
           6           2           4           9          10          11           4
           7           2           5           6           8           9          10
           8           2           6           6           8           7          10
           9           2           7           8           9          10          11
          10           2           8           8           7          10          11
